content;score;thumbsUpCount;at;appVersion;text_length;word_count
Bagus;5;0;2025-12-12 09:43:40;4.7.5;5;1
pertama enak buka setelah saya hapus lalu di installagi gak bisa buka hade;1;0;2025-12-12 09:27:09;4.7.6;74;13
BCA mengecewakan bgtttttttt setelah diperbarui selama 2 bln terakhir BCA ku jadi error terus mana posisi mau bayar ..... sudah sampai tlp ke operator katanya tidak ada kendala dipastikan jgn berkurang jaringan nya lah dll. padahal jaringan fulll, pakai data jugaaa tp malah tulisan something went wrong terusss sumpah sih baru kali ini kecewa sama BCA yg padahal GK pernah bermasalah sebelum nya;1;0;2025-12-12 09:16:12;4.5.7;395;63
aplikasi busuk;1;2;2025-12-12 06:23:33;4.6.1;14;2
sangat puas;5;0;2025-12-12 06:15:07;4.7.6;11;2
bagus;5;0;2025-12-12 06:06:51;4.7.6;5;1
notifikasi lambat,verifikasi bug;1;0;2025-12-12 01:16:40;4.7.6;32;3
ngeleg parah, padahal udah hijau tetap aja gak bisa digunakan sampe pindah-pindah jaringan dari wifi ke data seluler tetap aja gak bisa;1;0;2025-12-12 00:19:22;4.7.6;135;22
ok;5;0;2025-12-11 23:54:38;4.7.6;2;1
upgrade terbaru tgl 8/12/25 malah jadi lemot, lambat, alias berat.;3;0;2025-12-11 23:29:38;4.7.6;66;10
mesin ATM BCA paling buruk di kelapa dua, alfamart, Arcadia Grande F. 20 ATM ketelan tiba2 ga jelas. kejadian yg kedua kali nya, BCA nya untung banyak,ngurus ATM baru kena biaya kartu 20 rb;1;0;2025-12-11 23:26:56;4.7.6;189;34
Oke;5;0;2025-12-11 23:05:53;4.7.6;3;1
Tolonglah listrik saya sering habis tengah malam dan saya butuh isi token secepat mungkin, tapi aplikasi kalian selalu bermasalah tengah malam untuk melakukan transaksi dan disuruh cek mutasi rekening, buat apa coba cek mutasi? Dan ini bukan cuma 1 kali loh... Sudah saya cek untuk update dan clear cache tapi ga ada gunanya. Tolonglah perbaiki aplikasi kalian;2;0;2025-12-11 23:03:30;4.7.6;360;57
nyesel pake BCA ..top up flazz BCA yang gagal transaksi,uang dah hilang .bukanya di ganti malah kebanyakan ngomong akhirnya saya gantiin uang bos saya , di sangka saya nyuri padahal masalah transaksi gagal di jelasin sampai detail.. saya ungkit ke direktur nya demi Allah;1;0;2025-12-11 22:50:30;;271;44
bikin emosi klu LG mbangking makin ksini susah bgt masuk..w LG di desa susah cari ATM woiiiii;1;0;2025-12-11 22:15:37;;93;17
hal yg saya benci dari aplikasi ini adalah betapa belibetnya proses buat masuk ke aplikasi apabila terjadi error sama kartu sim, saya nyoba buat masuk ke mbanking sampe rela beli pulsa tpi respon dari aplikasinya disuruh registrasi ulang di atm. borosin pulsa banget;1;0;2025-12-11 22:02:26;;266;43
info update baru kayak agak lemot di pake yah;4;0;2025-12-11 21:01:40;4.7.6;45;9
keren...ngebantu bngt;5;0;2025-12-11 19:09:42;4.7.6;21;2
bikin gdeg . laayanan transaksi tidak bisa saat ini coba kembali lagi nanti . cuman buat pindah data dari hape lama ke hape baru. udah 4 kali percobaan ttp ajj ddi persulit.. udah lewat verifikasi lewatt sms dan. ada biyaya nya .. kurang puas dngn sistem Kya ginii;1;0;2025-12-11 16:33:45;;264;48
aplikasi lemot gajelas;1;0;2025-12-11 15:47:29;;22;3
baik;5;0;2025-12-11 15:46:51;4.7.6;4;1
Untuk Developer, mending kalian segera benahi aplikasi nya. Banyak yang ngeluh indikator merah menuju hijau sangat lama, ada jeda setiap kali klik suatu pilihan, dan font yang kurang bagus, lalu notifikasi yang lama muncul nya. Mending kalian segera atasi dan benahi, sebelum pelanggan M BCA pada pindah ke yang lain.;1;1;2025-12-11 12:44:25;4.7.6;317;50
msntap;5;0;2025-12-11 12:29:29;4.7.5;6;1
Jelek banget sih Apps nya, terlalu ribet;1;0;2025-12-11 11:52:06;4.7.6;40;7
setelah update makin lemot njir;2;0;2025-12-11 11:40:15;4.7.6;31;5
sangat membantu saya bertrasaksi;4;0;2025-12-11 11:29:15;;32;4
good;5;0;2025-12-11 11:14:43;4.7.6;4;1
ok;5;0;2025-12-11 10:55:35;4.7.6;2;1
MINTA VERIFIKASI TERUS. RIBET !!!;1;0;2025-12-11 09:48:16;4.7.6;33;5
setelah update sering muncul indikator merah, sebelumnya lancar² saja dan qris loading sangat lama, bahkan sama sekali ga terbuka. mohon diperbaiki.;1;0;2025-12-11 08:50:39;4.7.6;148;21
sejak Up grade Versi baru jadi LAMBAT LEMOT & LEBIH MENGECEWAKAN LAGI skrg HAPUS INBOX MAXIMAL 5 padahal kita ada 4000an Inbox.....Dulu bisa sekali hapus semua.....;1;0;2025-12-11 08:48:33;4.7.6;164;26
2 Minggu lalu ada kendala transaksi Qris gagal,,tapi uang ke potong sampai saat ini uang belum kembali,,tlong pertanggung jawaban nya untuk BCA;1;0;2025-12-11 08:44:27;4.7.6;143;22
baik;5;0;2025-12-11 08:40:15;4.7.6;4;1
mau akses bca verifikasi wajahnya susah banget, padahal verifikasi wajah pake gopay, shopepay, semua bisa. masa secanggih perusahaam bca verifikasi wajah aja susah. apa ada solusi lain?;1;0;2025-12-11 08:37:51;4.7.6;185;27
aku suka Bank BCA mobile kati kati sekarang ini download Bank BCA mobile kati kati sekarang ini 👍👍👍👍👍👍👍🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨;5;0;2025-12-11 07:30:20;4.7.6;298;18
pelayanan sangat memuaskan terimakasih BCA;5;0;2025-12-11 07:17:59;;42;5
baik;5;0;2025-12-11 06:17:19;;4;1
sangat keren;5;0;2025-12-11 00:03:47;4.7.6;12;2
Aplikasi jembut. lola. nunggu indikator ijo,, lebih sat set dana;1;0;2025-12-11 00:02:43;4.7.6;64;10
membantu saya;5;0;2025-12-11 00:02:19;4.2.1;13;2
Uda update .;5;0;2025-12-10 23:54:03;4.7.0;12;3
di update malah JD lemot, lampu indikator merah terus padahal sinyal bagus, mohon di perbaiki;3;0;2025-12-10 22:22:33;4.7.6;93;15
sangat membantu dalam proses Pembayaran;5;0;2025-12-10 22:06:50;;39;5
aplikasi Ter jos;5;0;2025-12-10 21:32:37;4.7.6;16;3
susah untuk qris buruk lemot;1;0;2025-12-10 21:16:18;4.6.7;28;5
tiba Tiba Keluar Terus GK Bisa Login Lagi Susah Buat Login;2;0;2025-12-10 20:25:31;;58;11
BCA mantappp👍👍👍👍👍;5;0;2025-12-10 20:24:44;4.7.6;17;2
best;5;0;2025-12-10 19:53:38;;4;1
apk nya tolol bngt kalo mau d pake refresh mllu ,nunggu lampu ijo aj Kya ap'n tau bikin malu aj ,suka keluar apk sendri kalo lagi d gunain tolong jngan d perbarui mllu TPI layanannya lemot;1;0;2025-12-10 19:49:32;4.7.6;188;36
Good👍;5;0;2025-12-10 19:31:43;4.7.6;5;1
Males sama verifikasi wajahnya setelah ganti HP, jadi tidak bisa mengakses transaksinya. Saran, sebaiknya proses verifikasi foto dilakukan secara online tapi dengan operator manusia yang selalu sedia disetiap jam kerja sebagai checkernya!!!!;1;0;2025-12-10 19:30:21;4.7.6;241;32
nunggu otp sudah 2jam belum ada;1;0;2025-12-10 19:00:04;4.7.6;31;6
lemot BCA,dan klo ada Kendala pembayaran pakai qris tidak bisa kembali uang yg sudah hilang kepotong;1;0;2025-12-10 18:20:22;;100;16
Habis upgrade kok terasa lemot yah aplikasi bca mobile nya, jaringan sangat bagus dan sinyal full 4G LTE, respon bca tidak memuaskan pelanggan;1;0;2025-12-10 17:08:50;4.7.6;142;23
parah bos...ketika mau transfer seakan tidak ada sinyal..gak bisa masuk..Bca mobil segeralah perbaiki;1;0;2025-12-10 16:36:19;4.7.6;101;13
BCA terbaik;5;0;2025-12-10 15:17:02;4.7.6;11;2
luar biasa;5;0;2025-12-10 14:33:26;4.7.6;10;2
update terbaru saya tidak suka...fontnya tipis sekali, dan aplikasi lumayan berat, indikator merah ke hijau juga lama, tidak secepat versi sebelumnya, device smartphone saya poco X6 pro;3;0;2025-12-10 14:04:48;;185;27
sering banget ganguan aplikasi nya mohon perbaiki;4;0;2025-12-10 13:00:14;4.7.6;49;7
Terimakasih telah menjalin persahabatan sampai mancanegara;5;0;2025-12-10 12:58:45;4.7.6;58;6
oke;5;0;2025-12-10 12:46:03;4.7.6;3;1
lagi bug kah bca gabisa dibuka?;1;0;2025-12-10 12:32:42;4.7.6;31;6
apliksi ini tdk ada notipikasi transaksi sma customernya,,,kya bnk yg lain,,,tlong di perbaiki,,soalnya persan sya kmrin saldo sya ada ps di lhat gda sbagian,,,klo ada notipikasi transaksi kn lbih baik dn mnguntungkan ke 2 blh pihak,,,,;1;0;2025-12-10 12:12:26;4.7.6;236;36
lancar mudah menggunakan bca;5;0;2025-12-10 11:48:43;4.7.6;28;4
knapa ada tulisan silahkan hubungi hallo bca;1;0;2025-12-10 11:02:20;;44;7
setelah di update malahan lempot buka mbengking apa lagi pas mau pake QR loding trus bikin kesel;1;0;2025-12-10 10:58:42;4.7.6;96;17
simple and complex;5;0;2025-12-10 10:06:13;4.7.6;18;3
saat ganti HP m banking harus verifikasi ulang, cocokan foto KTP tahun 2012 dengan tahun 2025,di coba sampai 10x tetap ditolak,harus ke CS sdh ke CS kantor Cabang di layani dg baik dan ramah, sekitar 35 menit selesai;5;0;2025-12-10 09:37:22;4.7.6;216;38
